220	11	7	906	553	353
220	11	8	649	635	14
220	11	9	756	765	0
220	11	10	818	624	194
220	11	11	633	724	0
220	11	12	746	520	226
220	11	13	838	643	195
220	11	14	719	569	150
220	11	15	739	722	17
220	11	16	819	832	0
220	11	17	709	715	0
220	11	18	679	649	30
220	11	19	553	770	0
220	11	20	881	693	188
220	11	21	1298	776	522
220	11	22	903	992	0
220	70	7	393	222	171
220	70	8	361	236	125
220	70	9	335	346	0
220	70	10	450	380	70
220	70	11	300	274	26
220	70	12	319	390	0
220	70	13	310	340	0
220	70	14	308	334	0
220	70	15	411	317	94
220	70	16	292	314	0
220	70	17	414	361	53
220	70	18	316	399	0
220	70	19	489	507	0
220	70	20	408	366	42
220	70	21	660	620	40
220	70	22	615	698	0
332	6	7	612	407	205
332	6	8	552	565	0
332	6	9	551	380	171
332	6	10	494	372	122
332	6	11	651	421	230
332	6	12	587	405	182
332	6	13	415	527	0
332	6	14	627	421	206
332	6	15	500	348	152
332	6	16	567	380	187
332	6	17	485	501	0
332	6	18	524	393	131
332	6	19	368	342	26
332	6	20	444	917	0
332	6	21	527	601	0
332	6	22	794	502	292
1902	5	7	1236	972	264
1902	5	8	607	672	0
1902	5	9	544	562	0
1902	5	10	572	620	0
1902	5	11	744	557	187
1902	5	12	697	584	113
1902	5	13	666	507	159
1902	5	14	552	682	0
1902	5	15	729	689	40
1902	5	16	718	680	38
1902	5	17	555	549	6
1902	5	18	753	495	258
1902	5	19	602	496	106
1902	5	20	518	611	0
1902	5	21	1018	867	151
1902	5	22	1037	974	63
2620	63	7	444	485	0
2620	63	8	485	343	142
2620	63	9	375	416	0
2620	63	10	648	462	186
2620	63	11	504	518	0
2620	63	12	629	536	93
2620	63	13	538	446	92
2620	63	14	650	641	9
2620	63	15	689	606	83
2620	63	16	572	486	86
2620	63	17	464	470	0
2620	63	18	623	587	36
2620	63	19	549	584	0
2620	63	20	585	637	0
2620	63	21	583	491	92
2620	63	22	1023	972	51
2871	81	7	1275	1184	91
2871	81	8	804	859	0
2871	81	9	875	879	0
2871	81	10	955	913	42
2871	81	11	882	765	117
2871	81	12	869	900	0
2871	81	13	796	842	0
2871	81	14	942	812	130
2871	81	15	860	813	47
2871	81	16	807	878	0
2871	81	17	908	897	11
2871	81	18	775	814	0
2871	81	19	760	755	5
2871	81	20	1161	1002	159
2871	81	21	896	706	190
2871	81	22	1092	964	128
2871	121	7	765	858	0
2871	121	8	746	916	0
2871	121	9	808	734	74
2871	121	10	1013	868	145
2871	121	11	825	717	108
2871	121	12	901	608	293
2871	121	13	664	879	0
2871	121	14	834	828	6
2871	121	15	676	945	0
2871	121	16	846	747	99
2871	121	17	972	907	65
2871	121	18	963	920	43
2871	121	19	831	894	0
2871	121	20	1297	1044	253
2871	121	21	1068	843	225
2871	121	22	848	1298	0
89	6	7	534	577	0
89	6	8	551	380	171
89	6	9	492	598	0
89	6	10	524	611	0
89	6	11	566	426	140
89	6	12	563	419	144
89	6	13	449	584	0
89	6	14	569	432	137
89	6	15	414	430	0
89	6	16	573	387	186
89	6	17	627	522	105
89	6	18	678	580	98
89	6	19	481	518	0
89	6	20	874	704	170
89	6	21	728	602	126
89	6	22	537	591	0
89	19	7	579	375	204
89	19	8	258	213	45
89	19	9	180	213	0
89	19	10	290	190	100
89	19	11	329	240	89
89	19	12	279	164	115
89	19	13	260	287	0
89	19	14	199	301	0
89	19	15	243	281	0
89	19	16	209	272	0
89	19	17	307	231	76
89	19	18	226	286	0
89	19	19	203	246	0
89	19	20	702	446	256
89	19	21	521	445	76
89	19	22	507	264	243
89	27	7	330	173	157
89	27	8	330	172	158
89	27	9	225	207	18
89	27	10	243	244	0
89	27	11	204	202	2
89	27	12	281	184	97
89	27	13	330	251	79
89	27	14	213	189	24
89	27	15	277	169	108
89	27	16	208	190	18
89	27	17	306	208	98
89	27	18	330	292	38
89	27	19	271	227	44
89	27	20	437	232	205
89	27	21	322	230	92
89	27	22	552	336	216
89	45	7	668	484	184
89	45	8	617	613	4
89	45	9	400	420	0
89	45	10	452	447	5
89	45	11	468	431	37
89	45	12	473	419	54
89	45	13	468	412	56
89	45	14	400	417	0
89	45	15	472	419	53
89	45	16	416	413	3
89	45	17	406	407	0
89	45	18	417	406	11
89	45	19	418	415	3
89	45	20	618	616	2
89	45	21	567	912	0
89	45	22	1008	567	441
1509	42	7	725	605	120
1509	42	8	719	759	0
1509	42	9	779	608	171
1509	42	10	751	599	152
1509	42	11	573	718	0
1509	42	12	800	528	272
1509	42	13	807	535	272
1509	42	14	792	500	292
1509	42	15	537	713	0
1509	42	16	636	723	0
1509	42	17	789	616	173
1509	42	18	545	683	0
1509	42	19	722	727	0
1509	42	20	1295	1162	133
1509	42	21	1270	1195	75
1509	42	22	757	747	10
1509	132	7	1209	983	226
1509	132	8	434	440	0
1509	132	9	440	452	0
1509	132	10	423	395	28
1509	132	11	361	464	0
1509	132	12	487	426	61
1509	132	13	369	421	0
1509	132	14	403	444	0
1509	132	15	438	450	0
1509	132	16	391	452	0
1509	132	17	414	392	22
1509	132	18	454	333	121
1509	132	19	369	465	0
1509	132	20	1254	988	266
1509	132	21	973	663	310
1509	132	22	1157	987	170
1509	137	7	1079	701	378
1509	137	8	927	727	200
1509	137	9	907	900	7
1509	137	10	1062	925	137
1509	137	11	690	874	0
1509	137	12	805	940	0
1509	137	13	656	787	0
1509	137	14	708	912	0
1509	137	15	967	727	240
1509	137	16	744	896	0
1509	137	17	976	839	137
1509	137	18	872	856	16
1509	137	19	888	864	24
1509	137	20	1752	1370	382
1509	137	21	910	884	26
1509	137	22	1466	1578	0
1086	106	7	519	711	0
1086	106	8	557	511	46
1086	106	9	741	470	271
1086	106	10	678	501	177
1086	106	11	587	682	0
1086	106	12	691	503	188
1086	106	13	730	490	240
1086	106	14	591	758	0
1086	106	15	568	446	122
1086	106	16	731	530	201
1086	106	17	845	733	112
1086	106	18	798	510	288
1086	106	19	779	780	0
1086	106	20	1348	773	575
1086	106	21	1148	968	180
1086	106	22	956	970	0
2797	76	7	996	1117	0
2797	76	8	855	810	45
2797	76	9	855	810	45
2797	76	10	855	810	45
2797	76	11	855	810	45
2797	76	12	855	810	45
2797	76	13	855	810	45
2797	76	14	855	810	45
2797	76	15	855	810	45
2797	76	16	855	810	45
2797	76	17	855	810	45
2797	76	18	855	810	45
2797	76	19	855	810	45
2797	76	20	855	810	45
2797	76	21	1221	1177	44
2797	76	22	1555	1417	138
2797	116	7	717	604	113
2797	116	8	666	581	85
2797	116	9	749	729	20
2797	116	10	583	713	0
2797	116	11	699	717	0
2797	116	12	710	542	168
2797	116	13	755	674	81
2797	116	14	680	729	0
2797	116	15	610	689	0
2797	116	16	574	585	0
2797	116	17	743	714	29
2797	116	18	703	658	45
2797	116	19	788	1178	0
2797	116	20	1122	1111	11
2797	116	21	987	770	217
2797	116	22	1263	769	494
1207	4	7	887	578	309
1207	4	8	500	554	0
1207	4	9	708	472	236
1207	4	10	638	547	91
1207	4	11	756	589	167
1207	4	12	736	554	182
1207	4	13	784	586	198
1207	4	14	750	599	151
1207	4	15	794	585	209
1207	4	16	790	682	108
1207	4	17	750	597	153
1207	4	18	754	736	18
1207	4	19	691	684	7
1207	4	20	922	770	152
1207	4	21	487	518	0
1207	4	22	946	471	475
2629	55	7	694	489	205
2629	55	8	632	531	101
2629	55	9	705	506	199
2629	55	10	514	591	0
2629	55	11	710	699	11
2629	55	12	596	624	0
2629	55	13	698	627	71
2629	55	14	722	658	64
2629	55	15	521	581	0
2629	55	16	532	570	0
2629	55	17	557	627	0
2629	55	18	690	517	173
2629	55	19	563	657	0
2629	55	20	1067	791	276
2629	55	21	1015	857	158
2629	55	22	873	949	0
2629	65	7	1198	788	410
2629	65	8	914	948	0
2629	65	9	809	776	33
2629	65	10	796	726	70
2629	65	11	757	854	0
2629	65	12	858	738	120
2629	65	13	834	683	151
2629	65	14	874	652	222
2629	65	15	777	690	87
2629	65	16	921	774	147
2629	65	17	882	790	92
2629	65	18	734	694	40
2629	65	19	704	791	0
2629	65	20	725	1211	0
2629	65	21	1130	960	170
2629	65	22	755	974	0
5486	71	7	697	824	0
5486	71	8	715	643	72
5486	71	9	623	748	0
5486	71	10	850	769	81
5486	71	11	599	695	0
5486	71	12	701	785	0
5486	71	13	672	817	0
5486	71	14	737	676	61
5486	71	15	722	580	142
5486	71	16	642	552	90
5486	71	17	760	769	0
5486	71	18	752	670	82
5486	71	19	580	544	36
5486	71	20	808	980	0
5486	71	21	1042	716	326
5486	71	22	1114	1063	51
1608	67	7	789	536	253
1608	67	8	513	604	0
1608	67	9	531	546	0
1608	67	10	626	541	85
1608	67	11	514	521	0
1608	67	12	672	623	49
1608	67	13	557	617	0
1608	67	14	693	528	165
1608	67	15	640	685	0
1608	67	16	724	532	192
1608	67	17	563	667	0
1608	67	18	518	692	0
1608	67	19	744	605	139
1608	67	20	1033	943	90
1608	67	21	634	718	0
1608	67	22	648	748	0
2434	47	7	895	804	91
2434	47	8	786	657	129
2434	47	9	698	800	0
2434	47	10	723	790	0
2434	47	11	877	789	88
2434	47	12	773	794	0
2434	47	13	737	601	136
2434	47	14	662	802	0
2434	47	15	704	555	149
2434	47	16	700	739	0
2434	47	17	692	561	131
2434	47	18	693	647	46
2434	47	19	619	758	0
2434	47	20	940	918	22
2434	47	21	1176	777	399
2434	47	22	1003	625	378
2434	247	7	1663	1829	0
2434	247	8	1478	1568	0
2434	247	9	1627	1342	285
2434	247	10	1689	1208	481
2434	247	11	1464	1586	0
2434	247	12	1718	1594	124
2434	247	13	1558	1255	303
2434	247	14	1470	1433	37
2434	247	15	1673	1395	278
2434	247	16	1657	1546	111
2434	247	17	1261	1280	0
2434	247	18	1421	1388	33
2434	247	19	1370	1370	0
2434	247	20	1697	1425	272
2434	247	21	1364	1387	0
2434	247	22	1657	1548	109
438	51	7	876	725	151
438	51	8	845	648	197
438	51	9	608	755	0
438	51	10	618	560	58
438	51	11	596	652	0
438	51	12	518	727	0
438	51	13	701	569	132
438	51	14	587	617	0
438	51	15	616	532	84
438	51	16	558	539	19
438	51	17	511	436	75
438	51	18	600	468	132
438	51	19	599	569	30
438	51	20	747	611	136
438	51	21	673	722	0
438	51	22	833	735	98
2387	44	7	849	463	386
2387	44	8	640	617	23
2387	44	9	673	498	175
2387	44	10	594	434	160
2387	44	11	522	574	0
2387	44	12	534	509	25
2387	44	13	640	526	114
2387	44	14	637	503	134
2387	44	15	670	496	174
2387	44	16	475	602	0
2387	44	17	552	547	5
2387	44	18	554	447	107
2387	44	19	648	521	127
2387	44	20	827	870	0
2387	44	21	630	786	0
2387	44	22	1006	880	126
2387	133	7	508	479	29
2387	133	8	451	407	44
2387	133	9	487	400	87
2387	133	10	449	376	73
2387	133	11	495	395	100
2387	133	12	450	319	131
2387	133	13	309	399	0
2387	133	14	471	448	23
2387	133	15	314	472	0
2387	133	16	408	473	0
2387	133	17	398	374	24
2387	133	18	319	271	48
2387	133	19	306	341	0
2387	133	20	450	486	0
2387	133	21	619	478	141
2387	133	22	727	726	1
58	7	7	978	611	367
58	7	8	585	679	0
58	7	9	618	655	0
58	7	10	667	620	47
58	7	11	629	589	40
58	7	12	630	648	0
58	7	13	587	643	0
58	7	14	716	568	148
58	7	15	598	677	0
58	7	16	609	677	0
58	7	17	621	587	34
58	7	18	613	573	40
58	7	19	615	606	9
58	7	20	653	580	73
58	7	21	638	641	0
58	7	22	797	735	62
58	16	7	877	544	333
58	16	8	662	687	0
58	16	9	529	567	0
58	16	10	519	579	0
58	16	11	725	562	163
58	16	12	666	687	0
58	16	13	561	625	0
58	16	14	636	578	58
58	16	15	619	557	62
58	16	16	693	614	79
58	16	17	693	640	53
58	16	18	563	601	0
58	16	19	671	639	32
58	16	20	1237	1033	204
58	16	21	784	1033	0
58	16	22	922	1166	0
58	40	7	1063	977	86
58	40	8	604	622	0
58	40	9	542	669	0
58	40	10	589	698	0
58	40	11	718	510	208
58	40	12	521	663	0
58	40	13	696	571	125
58	40	14	626	537	89
58	40	15	623	684	0
58	40	16	525	547	0
58	40	17	731	686	45
58	40	18	733	568	165
58	40	19	523	542	0
58	40	20	685	625	60
58	40	21	536	617	0
58	40	22	947	941	6
58	147	7	573	450	123
58	147	8	318	399	0
58	147	9	316	404	0
58	147	10	449	413	36
58	147	11	380	362	18
58	147	12	374	342	32
58	147	13	421	308	113
58	147	14	433	397	36
58	147	15	286	379	0
58	147	16	413	307	106
58	147	17	450	271	179
58	147	18	352	358	0
58	147	19	369	338	31
58	147	20	615	649	0
58	147	21	466	604	0
58	147	22	649	578	71
568	64	7	615	769	0
568	64	8	672	645	27
568	64	9	813	605	208
568	64	10	572	534	38
568	64	11	517	523	0
568	64	12	533	495	38
568	64	13	640	584	56
568	64	14	591	573	18
568	64	15	600	664	0
568	64	16	605	638	0
568	64	17	657	571	86
568	64	18	589	572	17
568	64	19	595	637	0
568	64	20	1460	981	479
568	64	21	635	786	0
568	64	22	1238	742	496
3774	172	7	984	905	79
3774	172	8	821	761	60
3774	172	9	943	918	25
3774	172	10	957	816	141
3774	172	11	901	832	69
3774	172	12	904	932	0
3774	172	13	856	918	0
3774	172	14	955	944	11
3774	172	15	885	826	59
3774	172	16	953	857	96
3774	172	17	887	848	39
3774	172	18	947	893	54
3774	172	19	937	861	76
3774	172	20	1518	1124	394
3774	172	21	1541	958	583
3774	172	22	993	842	151
1479	138	7	876	552	324
1479	138	8	923	650	273
1479	138	9	902	809	93
1479	138	10	790	731	59
1479	138	11	608	545	63
1479	138	12	847	749	98
1479	138	13	897	808	89
1479	138	14	622	846	0
1479	138	15	709	575	134
1479	138	16	751	661	90
1479	138	17	632	673	0
1479	138	18	747	589	158
1479	138	19	807	835	0
1479	138	20	961	799	162
1479	138	21	1135	867	268
1479	138	22	1128	673	455
4333	25	7	504	282	222
4333	25	8	450	342	108
4333	25	9	533	336	197
4333	25	10	564	334	230
4333	25	11	588	352	236
4333	25	12	542	473	69
4333	25	13	419	337	82
4333	25	14	550	448	102
4333	25	15	576	529	47
4333	25	16	432	516	0
4333	25	17	480	368	112
4333	25	18	457	500	0
4333	25	19	378	418	0
4333	25	20	621	463	158
4333	25	21	1097	761	336
4333	25	22	726	600	126
4333	39	7	634	555	79
4333	39	8	613	411	202
4333	39	9	546	575	0
4333	39	10	475	395	80
4333	39	11	480	525	0
4333	39	12	640	542	98
4333	39	13	450	517	0
4333	39	14	476	475	1
4333	39	15	642	415	227
4333	39	16	490	483	7
4333	39	17	579	458	121
4333	39	18	596	434	162
4333	39	19	502	576	0
4333	39	20	538	429	109
4333	39	21	579	587	0
4333	39	22	581	600	0
5036	8	7	715	524	191
5036	8	8	667	637	30
5036	8	9	515	576	0
5036	8	10	551	565	0
5036	8	11	711	611	100
5036	8	12	721	582	139
5036	8	13	625	688	0
5036	8	14	702	644	58
5036	8	15	717	625	92
5036	8	16	737	546	191
5036	8	17	584	657	0
5036	8	18	646	658	0
5036	8	19	687	785	0
5036	8	20	961	925	36
5036	8	21	898	710	188
5036	8	22	720	866	0
5036	19	7	294	439	0
5036	19	8	211	186	25
5036	19	9	232	274	0
5036	19	10	212	284	0
5036	19	11	261	211	50
5036	19	12	283	231	52
5036	19	13	312	225	87
5036	19	14	235	284	0
5036	19	15	195	238	0
5036	19	16	171	177	0
5036	19	17	303	260	43
5036	19	18	309	163	146
5036	19	19	272	201	71
5036	19	20	478	386	92
5036	19	21	487	761	0
5036	19	22	332	235	97
5036	45	7	658	506	152
5036	45	8	728	447	281
5036	45	9	482	426	56
5036	45	10	400	440	0
5036	45	11	451	450	1
5036	45	12	412	433	0
5036	45	13	443	391	52
5036	45	14	433	416	17
5036	45	15	436	405	31
5036	45	16	480	447	33
5036	45	17	482	405	77
5036	45	18	477	402	75
5036	45	19	452	432	20
5036	45	20	651	515	136
5036	45	21	978	572	406
5036	45	22	773	564	209
5036	47	7	608	782	0
5036	47	8	798	669	129
5036	47	9	804	730	74
5036	47	10	827	807	20
5036	47	11	588	760	0
5036	47	12	714	717	0
5036	47	13	835	663	172
5036	47	14	715	824	0
5036	47	15	739	743	0
5036	47	16	650	581	69
5036	47	17	775	682	93
5036	47	18	790	622	168
5036	47	19	901	745	156
5036	47	20	681	1034	0
5036	47	21	742	1053	0
5036	47	22	950	1038	0
5036	59	7	880	589	291
5036	59	8	805	580	225
5036	59	9	682	656	26
5036	59	10	629	583	46
5036	59	11	632	620	12
5036	59	12	597	637	0
5036	59	13	671	631	40
5036	59	14	595	577	18
5036	59	15	648	565	83
5036	59	16	694	663	31
5036	59	17	653	604	49
5036	59	18	573	790	0
5036	59	19	848	624	224
5036	59	20	1008	785	223
5036	59	21	1068	801	267
5036	59	22	1188	611	577
5036	85	7	545	401	144
5036	85	8	424	534	0
5036	85	9	610	463	147
5036	85	10	614	544	70
5036	85	11	358	523	0
5036	85	12	349	357	0
5036	85	13	360	435	0
5036	85	14	442	567	0
5036	85	15	553	375	178
5036	85	16	402	409	0
5036	85	17	601	538	63
5036	85	18	597	580	17
5036	85	19	416	400	16
5036	85	20	750	579	171
5036	85	21	724	587	137
5036	85	22	571	643	0
5036	86	7	789	732	57
5036	86	8	728	543	185
5036	86	9	785	557	228
5036	86	10	692	683	9
5036	86	11	739	663	76
5036	86	12	744	699	45
5036	86	13	696	718	0
5036	86	14	759	702	57
5036	86	15	692	649	43
5036	86	16	732	707	25
5036	86	17	770	739	31
5036	86	18	665	798	0
5036	86	19	827	729	98
5036	86	20	1222	1023	199
5036	86	21	697	1166	0
5036	86	22	900	926	0
5036	247	7	2186	1508	678
5036	247	8	1291	1448	0
5036	247	9	1747	1515	232
5036	247	10	1709	1221	488
5036	247	11	1712	1233	479
5036	247	12	1662	1212	450
5036	247	13	1593	1220	373
5036	247	14	1410	1323	87
5036	247	15	1716	1422	294
5036	247	16	1620	1514	106
5036	247	17	1577	1482	95
5036	247	18	1394	1596	0
5036	247	19	1518	1531	0
5036	247	20	1649	1197	452
5036	247	21	1324	1492	0
5036	247	22	1380	1367	13
3549	101	7	1101	927	174
3549	101	8	1146	1055	91
3549	101	9	838	790	48
3549	101	10	1183	1133	50
3549	101	11	1250	1028	222
3549	101	12	880	868	12
3549	101	13	1183	1077	106
3549	101	14	1153	1060	93
3549	101	15	945	788	157
3549	101	16	1239	1097	142
3549	101	17	1209	1048	161
3549	101	18	836	868	0
3549	101	19	1161	1165	0
3549	101	20	1209	1136	73
3549	101	21	898	899	0
3549	101	22	1150	1060	90
5365	66	7	665	711	0
5365	66	8	703	648	55
5365	66	9	1090	932	158
5365	66	10	477	592	0
5365	66	11	466	501	0
5365	66	12	507	648	0
5365	66	13	655	604	51
5365	66	14	698	547	151
5365	66	15	529	435	94
5365	66	16	705	443	262
5365	66	17	601	596	5
5365	66	18	676	638	38
5365	66	19	507	622	0
5365	66	20	1072	618	454
5365	66	21	1272	911	361
5365	66	22	1036	745	291
5365	124	7	475	499	0
5365	124	8	468	445	23
5365	124	9	513	463	50
5365	124	10	520	446	74
5365	124	11	489	432	57
5365	124	12	456	468	0
5365	124	13	456	499	0
5365	124	14	515	496	19
5365	124	15	523	452	71
5365	124	16	515	451	64
5365	124	17	514	485	29
5365	124	18	457	452	5
5365	124	19	515	485	30
5365	124	20	520	462	58
5365	124	21	533	547	0
5365	124	22	830	779	51
5390	112	7	1047	1337	0
5390	112	8	1015	835	180
5390	112	9	879	716	163
5390	112	10	1014	981	33
5390	112	11	895	716	179
5390	112	12	919	772	147
5390	112	13	957	984	0
5390	112	14	1026	757	269
5390	112	15	799	748	51
5390	112	16	1005	825	180
5390	112	17	828	938	0
5390	112	18	1035	823	212
5390	112	19	846	861	0
5390	112	20	1034	1440	0
5390	112	21	933	1401	0
5390	112	22	1113	1075	38
5390	114	7	660	638	22
5390	114	8	485	601	0
5390	114	9	745	751	0
5390	114	10	688	598	90
5390	114	11	632	762	0
5390	114	12	728	769	0
5390	114	13	728	673	55
5390	114	14	528	563	0
5390	114	15	810	545	265
5390	114	16	707	568	139
5390	114	17	745	615	130
5390	114	18	644	518	126
5390	114	19	780	500	280
5390	114	20	1303	516	787
5390	114	21	1029	627	402
5390	114	22	590	1015	0
1384	37	7	827	814	13
1384	37	8	686	675	11
1384	37	9	602	813	0
1384	37	10	614	752	0
1384	37	11	811	563	248
1384	37	12	779	567	212
1384	37	13	902	561	341
1384	37	14	729	775	0
